global_index,waypoint_id,edge_id,path_id,node_from,node_to,s_m,x,y,yaw,kappa,v_mps,speed_limit_mps,behavior,direction
0,WP_E_C-001_F_000000,E_C-001_F,C-001,N0001,N0002,0.0,-18.636,4.996,-0.4547,0.028647,1.0,1.0,follow,forward
1,WP_E_C-001_F_000001,E_C-001_F,C-001,N0001,N0002,0.2,-18.457,4.908,-0.4432,0.028647,1.0,1.0,follow,forward
2,WP_E_C-001_F_000002,E_C-001_F,C-001,N0001,N0002,0.4,-18.276,4.823,-0.4341,0.022941,1.0,1.0,follow,forward
3,WP_E_C-001_F_000003,E_C-001_F,C-001,N0001,N0002,0.6,-18.094,4.739,-0.4264,0.019075,1.0,1.0,follow,forward
4,WP_E_C-001_F_000004,E_C-001_F,C-001,N0001,N0002,0.8,-17.912,4.656,-0.4199,0.01634,1.0,1.0,follow,forward
5,WP_E_C-001_F_000005,E_C-001_F,C-001,N0001,N0002,1.0,-17.73,4.574,-0.4142,0.014301,1.0,1.0,follow,forward
6,WP_E_C-001_F_000006,E_C-001_F,C-001,N0001,N0002,1.2,-17.547,4.494,-0.4091,0.012765,1.0,1.0,follow,forward
7,WP_E_C-001_F_000007,E_C-001_F,C-001,N0001,N0002,1.4,-17.363,4.414,-0.4044,0.011575,1.0,1.0,follow,forward
8,WP_E_C-001_F_000008,E_C-001_F,C-001,N0001,N0002,1.6,-17.179,4.336,-0.4002,0.01063,1.0,1.0,follow,forward
9,WP_E_C-001_F_000009,E_C-001_F,C-001,N0001,N0002,1.8,-16.995,4.258,-0.3962,0.009882,1.0,1.0,follow,forward
10,WP_E_C-001_F_000010,E_C-001_F,C-001,N0001,N0002,2.0,-16.811,4.181,-0.3925,0.009278,1.0,1.0,follow,forward
11,WP_E_C-001_F_000011,E_C-001_F,C-001,N0001,N0002,2.2,-16.626,4.104,-0.389,0.008792,1.0,1.0,follow,forward
12,WP_E_C-001_F_000012,E_C-001_F,C-001,N0001,N0002,2.4,-16.441,4.028,-0.3856,0.00841,1.0,1.0,follow,forward
13,WP_E_C-001_F_000013,E_C-001_F,C-001,N0001,N0002,2.6,-16.255,3.953,-0.3824,0.00809,1.0,1.0,follow,forward
14,WP_E_C-001_F_000014,E_C-001_F,C-001,N0001,N0002,2.8,-16.07,3.878,-0.3793,0.007854,1.0,1.0,follow,forward
15,WP_E_C-001_F_000015,E_C-001_F,C-001,N0001,N0002,3.0,-15.884,3.804,-0.3762,0.007661,1.0,1.0,follow,forward
16,WP_E_C-001_F_000016,E_C-001_F,C-001,N0001,N0002,3.2,-15.698,3.731,-0.3732,0.007519,1.0,1.0,follow,forward
17,WP_E_C-001_F_000017,E_C-001_F,C-001,N0001,N0002,3.4,-15.512,3.658,-0.3702,0.007443,1.0,1.0,follow,forward
18,WP_E_C-001_F_000018,E_C-001_F,C-001,N0001,N0002,3.6,-15.325,3.585,-0.3673,0.007381,1.0,1.0,follow,forward
19,WP_E_C-001_F_000019,E_C-001_F,C-001,N0001,N0002,3.8,-15.139,3.514,-0.3643,0.007386,1.0,1.0,follow,forward
20,WP_E_C-001_F_000020,E_C-001_F,C-001,N0001,N0002,4.0,-14.952,3.442,-0.3613,0.007403,1.0,1.0,follow,forward
21,WP_E_C-001_F_000021,E_C-001_F,C-001,N0001,N0002,4.2,-14.765,3.372,-0.3584,0.007485,1.0,1.0,follow,forward
22,WP_E_C-001_F_000022,E_C-001_F,C-001,N0001,N0002,4.4,-14.577,3.302,-0.3553,0.007586,1.0,1.0,follow,forward
23,WP_E_C-001_F_000023,E_C-001_F,C-001,N0001,N0002,4.6,-14.39,3.232,-0.3522,0.007732,1.0,1.0,follow,forward
24,WP_E_C-001_F_000024,E_C-001_F,C-001,N0001,N0002,4.8,-14.202,3.163,-0.3491,0.007931,1.0,1.0,follow,forward
25,WP_E_C-001_F_000025,E_C-001_F,C-001,N0001,N0002,5.0,-14.014,3.095,-0.3458,0.008155,1.0,1.0,follow,forward
26,WP_E_C-001_F_000026,E_C-001_F,C-001,N0001,N0002,5.2,-13.826,3.027,-0.3424,0.008457,1.0,1.0,follow,forward
27,WP_E_C-001_F_000027,E_C-001_F,C-001,N0001,N0002,5.4,-13.638,2.96,-0.3389,0.008786,1.0,1.0,follow,forward
28,WP_E_C-001_F_000028,E_C-001_F,C-001,N0001,N0002,5.6,-13.449,2.893,-0.3352,0.009195,1.0,1.0,follow,forward
29,WP_E_C-001_F_000029,E_C-001_F,C-001,N0001,N0002,5.8,-13.26,2.827,-0.3313,0.009685,1.0,1.0,follow,forward
30,WP_E_C-001_F_000030,E_C-001_F,C-001,N0001,N0002,6.0,-13.071,2.762,-0.3272,0.010244,1.0,1.0,follow,forward
31,WP_E_C-001_F_000031,E_C-001_F,C-001,N0001,N0002,6.2,-12.882,2.698,-0.325,0.008701,1.0,1.0,follow,forward
32,WP_E_C-001_F_000032,E_C-001_F,C-001,N0001,N0002,6.253,-12.831,2.681,-0.325,0.008701,1.0,1.0,follow,forward
33,WP_E_C-017_F_000000,E_C-017_F,C-017,N0002,N0003,0.0,-12.831,2.681,-0.3216,0.025279,1.0,1.0,follow,forward
34,WP_E_C-017_F_000001,E_C-017_F,C-017,N0002,N0003,0.2,-12.642,2.618,-0.3115,0.025279,1.0,1.0,follow,forward
35,WP_E_C-017_F_000002,E_C-017_F,C-017,N0002,N0003,0.4,-12.451,2.557,-0.3012,0.025675,1.0,1.0,follow,forward
36,WP_E_C-017_F_000003,E_C-017_F,C-017,N0002,N0003,0.6,-12.26,2.497,-0.2909,0.025717,1.0,1.0,follow,forward
37,WP_E_C-017_F_000004,E_C-017_F,C-017,N0002,N0003,0.8,-12.069,2.44,-0.2808,0.025434,1.0,1.0,follow,forward
38,WP_E_C-017_F_000005,E_C-017_F,C-017,N0002,N0003,1.0,-11.877,2.384,-0.2708,0.02479,1.0,1.0,follow,forward
39,WP_E_C-017_F_000006,E_C-017_F,C-017,N0002,N0003,1.2,-11.684,2.331,-0.2613,0.023795,1.0,1.0,follow,forward
40,WP_E_C-017_F_000007,E_C-017_F,C-017,N0002,N0003,1.4,-11.491,2.279,-0.2523,0.022481,1.0,1.0,follow,forward
41,WP_E_C-017_F_000008,E_C-017_F,C-017,N0002,N0003,1.6,-11.297,2.229,-0.244,0.020891,1.0,1.0,follow,forward
42,WP_E_C-017_F_000009,E_C-017_F,C-017,N0002,N0003,1.8,-11.103,2.181,-0.2363,0.019085,1.0,1.0,follow,forward
